代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sz300961,深水海纳,11.89,-0.42%,11.74%,89666700.0,84790600.0,4876200.0,174000000.0
sh600845,宝信软件,47.35,-0.42%,0.35%,141000000.0,147000000.0,5562800.0,288000000.0
sh600106,重庆路桥,4.7,-0.42%,0.84%,28003700.0,25593300.0,2410400.0,53597000.0
sz300358,楚天科技,11.87,-0.42%,2.33%,72104000.0,79012000.0,6908000.0,151000000.0
sz002256,兆新股份,2.36,-0.42%,2.79%,41166600.0,52967500.0,11800900.0,94134000.0
sh603163,圣晖集成,34.48,-0.43%,3.23%,13609400.0,14836000.0,1226600.0,28445400.0
sh603829,洛凯股份,13.97,-0.43%,1.78%,21528100.0,19026300.0,2501700.0,40554400.0
sh600817,宇通重工,9.32,-0.43%,1.70%,14056099.999999998,17370900.0,3314800.0,31426900.0
sh688065,凯赛生物,60.19,-0.43%,0.46%,66897100.0,48930000.0,17967100.0,115999999.99999999
sh600598,北大荒,13.82,-0.43%,1.28%,136000000.0,185000000.0,49652500.0,321000000.0
sz002252,上海莱士,6.95,-0.43%,0.83%,179000000.0,218000000.00000003,38804300.0,397000000.0
sz000960,锡业股份,14.0,-0.43%,1.58%,180000000.0,191000000.0,10697600.0,371000000.0
sh688130,晶华微,41.0,-0.44%,1.53%,3470700.0,6831500.0,3360899.9999999995,10302200.0
