微博id,微博内容,微博发布时间
N2lxyCCZo,"转发理由:8500亿还在冒着监管风险抱团妖股，少了北上还玩扩散，肯定会引起博弈的。9500亿时再做扩散不迟。这时候做杂毛全是负效应。 唉，实在不行，就全场继续磨时间成本  
原始用户: 唐史主任司马迁
转发内容: 赚钱效应还可以今天，不要搞扩散，不要搞杂毛。反正你杂毛早都剁了，这时候可以去干正标，为啥还干杂毛？合力一下吧。杂毛多了，又崩塌。这话不是和嫩韭说的，这话不是和嫩韭说的，这话不是和嫩韭说的。  ",2023-05-26 10:32
N2lscgp7N,赚钱效应还可以今天，不要搞扩散，不要搞杂毛。反正你杂毛早都剁了，这时候可以去干正标，为啥还干杂毛？合力一下吧。杂毛多了，又崩塌。这话不是和嫩韭说的，这话不是和嫩韭说的，这话不是和嫩韭说的。  ,2023-05-26 10:19
N2kKDtAmp,今天没有北上，港股佛诞日休市。从量上来看，昨天增加到了8500，预计下周月尾效应过了之后，会放大到9000。从市场博弈来看，也很简单，只要超过8500向9000去，抱团成交量较小的妖股做连板的模式，参与者就会减弱。不管是主动规避监管风险，还是被动吃函退出，市场都会向中容量模式过度。这个事件发生或...全文 ,2023-05-26 08:32
N2gAFC1Nq,看英伟达跳涨，很不是滋味。倒不是踏空了的不是滋味，虽然钱不多，也没有杠杆，但还是买了的。不是滋味是自问，为什么这样的公司，在美国。答案只有两个，流动性+人才。花街有全球最好的流动性，硅谷有全球的人才。华人作为东亚最大种群，而东亚种群又有着全球最高的智商，我们并不缺人才基数，...全文 ,2023-05-25 21:56
N2eBouG7D,虽然这个话说过很多次，真正需要听进去的人也听不进去，但我还是说一遍：不要借钱炒股，尤其借信用卡、小贷等等高息的钱。A股这个地方很公平，你的认识能力+执行能力到位了，你值多少钱，本金再少，复利也能带你到多少钱。时代的因素，只是放大或者加速这个过程而已。而你不值手上的钱，运气再好，...全文 ,2023-05-25 16:52
N2dAMzGs5,这情绪反转，比周星驰试戏的表情变化都快，玩不过玩不过。  ,2023-05-25 14:18
N2d6AFk8x,汽配只要是入链入对的，最近都筑底了，但别着急，赛道内的东西，先让1-10的走，然后3-10的再发力，氛围会更好些。都是青灯木鱼的守寡钱，晚两天没啥，咱大局为重，指数要见底，是需要赛道的细分领域β修复的。  ,2023-05-25 13:04
N2cstcbUA,本来净值还是正的，好嘛，拉证券，指不定今天就要被拉绿了。都2023年了，能不用2015年的招数不，从来都是负反馈啊。  ,2023-05-25 11:25
N2c2OuICD,AI一博弈，1-10成长逻辑就直接拉升。市场在回归有效，指数不重要了  ,2023-05-25 10:22
N2blxv4yE,昨天一通轮动，交易量才刚刚过8000亿，能稳在8000以上磨几天也行。指数的问题是，权重在回调，之前生硬炒PB，导致了权重上行过快，现在要回调，自然也会拖累指数下行。不管是AI还是中特估，今年都有复制2014年的炒法，但实际上，资金面根本不支持这种做法，所以A回来杀一波也比较正常。这和其他甩锅的...全文 ,2023-05-25 08:35
N25bEjW3b,国泰这个事，并不孤立。咱们炒股的早已领教过汇丰之狗，平安虽持股也无可奈何。而当年卖给国航的股份，正是太古让汇丰出让的。国航固然服务态度也一般，但不至于屁股在太古那边，这种事，他和平安一样，插不上手。这几个英资背景的资本，和香港法庭上戴假发的大法官一样，是回归后依旧存在的障碍。...全文 ,2023-05-24 16:54
N23pSyyRc,我们经济的问题，其实不在外需。外需虽然有强也有弱，但顺差一直在扩大，这就够了。更多是内需的问题，从依赖房地产的增长结构，切换为高质量发展，是当下内需最大的变化。要回头补短板，要面向未来铸长板。高速增长会在现阶段调整为有质量的中速增长。至于说会不会复苏，悲观主义者会揪住每一个下跌...全文 ,2023-05-24 12:24
N22JgyUaZ,不一定今天就是指数的底，但做多的力量开始增强了。买啥各花入各眼，但情绪在好转。  ,2023-05-24 10:39
N225MklLR,A股讲故事，结局基本都是你掏出钱ALL IN的时候，戛然而止，然后买单。与之最为相似的，就是仙人跳，你脱完了，大汉也就进来了。  ,2023-05-24 09:02
N21Sj2s3w,市场继续缩量调整，昨天只有7600+，如果没有有效反弹，本轮缩量到7000附近也有一定概率。一般跌下来，都会找锅。昨天的锅是一份固收圈关于地方债的专家纪要。按说，做固守的越好，咱们二级流动性越差，反过来，固收不好，咱二级的流动性越好。可只要在下跌，啥都可以成为下跌的理由，这便是A股非理性所...全文 原图 ,2023-05-24 08:28
N1W8dBuQq,"转发理由:走走走，去越南找老王做庄。  
原始用户: 花总丢了金箍棒
转发内容: 出海第一集《摸着老王过河》：老王是个老证券，经历漫长熊市后在47岁“高龄出海”。他的梦想是在越南发展历史上留下自己的名字。他是老江湖，也是热心肠。在中国人们摸着石头过河，在越南人们摸着老王过河。#花总新纪录片出海# 花总丢了金箍棒的微博视频  ",2023-05-23 17:51
N1VIyDvVl,"转发理由:转  
原始用户: 微博小秘书
转发内容: 受国家疾病预防控制局委托，北京协和医学院于去年12月连续开展两轮新冠感染调查，为国家防控决策提供了参考信息。为了解近期新冠流行情况及“二阳”感染，收集数据，全面观察流行病症等情况，希望继续通过问卷形式进行总结。因此北京协和医学院将继续在5月23日12:00--5月30日12:00，开展...全文 ",2023-05-23 16:48
N1VxRmpjS,下行周期，越是接近触底的时候，宏观分析师悲观很正常啊，悲观是他们本色出演的必备曲目。连增速8%的时候，都悲观，何况增速5%。哦，不，联合国好像刚刚调到5%+了。地方债不好？你回答我，地方债啥时候好过。上行期讨论这种问题，会直接被人打断的——内债不算债你不懂吗？然后突然地方债导致悲观了...全文 ,2023-05-23 16:21
N1TlvCm1z,熬盘时间，熬着等信号。亏不了多少钱，但持仓一多半绿的，熬得很屈辱，浑身上下一股韭味。  ,2023-05-23 10:46
N1SwH4e5v,关于交流的问题，扯五毛钱。首先是因为监管的要求，我不明码，不想给自己惹来不必要的麻烦。更多是从市场和行业两个角度，聊聊在思考的问题，也希望得到一些有效反馈。但不明码，也会带来别的锅。比如你表达看好某个细分行业的一些变化，那么一些阅读理解能力很差的人，只会看到“看好某个细分行业”...全文 ,2023-05-23 08:40
N1SnIDh5P,市场在继续缩量，昨天不到8000亿。从纯交易的角度看，在AI和“中特估”回调之后，因为套牢盘和获利离场的因素，导致市场进入不应期。市场并不缺钱，但亏钱效应上升和盈利预期过高之间的矛盾，难以调和，还需要时间来磨合调试。每每这种缩量调整的时候，只要中国的投资环境没有变化，外资就会开始买。...全文 ,2023-05-23 08:18
N1M9ZC0NZ,去看医生，医生说你们这行就没好人。我说咋说，他说上周120拉来的是做期货的，周日值班来的也是金融口的，至于你这种都算小毛病了。我看了看商品期货，觉得受到了极大安慰。“算小毛病”也听进去了。这按摩功力，对得起这收费标准。  ,2023-05-22 16:28
N1Lm92YiZ,今天维护指数的都是外资比较青睐的品种，第一重预期是汇率稳定且处于低位，外部环境改善，外资买入。第二重预期是内资预判外资买入而先买入。第三重预期是量化预期内资蹲守外资，而率先建仓反正北向在流入之前，这种你知道我知道你知道我知道的套娃逻辑，就不会被证伪。  ,2023-05-22 14:25
N1Kjbvzbs,最近也慢慢感觉到，很多信息差很大的人来找我聊某个小作文，如果关系好，还会有耐心和他掰扯五分钟。如果关系不好，也就懒得讲了。回顾以往，总去找老哥们掰扯，然后他们不耐烦了，就说，你听我的就行。还好，一般我都会基于信任去听，而不是基于自我膨胀不听，这样少亏了好多钱。自主思考很重要，...全文 ,2023-05-22 11:45
N1J0D6fww,5月底到6月中旬，是做多窗口。把AI和中特估两个词汇从眼前删除掉，就能看到很多底部机会，和正在酝酿主升的结构。优选行业、优选企业，优先选中报能看到正反馈的企业，这样能一口气涨到三季报。  ,2023-05-22 08:27
N1IXquIWG,"转发理由:美光审查未通过+长存长鑫扩产，这个强化上周就开始上涨的存储；消电方面LED产商陆续调价，这个强化上周开始的DDIC；G7不再以脱钩为目的，强化主设备引入逻辑；加上上周的AI延伸到边缘+AIOT，今天半导体方向比较热闹，不缺催化，但是千万不要开太高，高开不是好事。  
原始用户: 唐史主任司马迁
转发内容: 周末几个重要事件都落地了，G7在一些他们长期乱哔哔的领域，还是干涉了咱们的内政，外交部也有明确的回应。至于产业政策方向，后续估计会以“保障自身供应链安全”作为说辞来试试他们的双标操作，说得比唱的好听，无意阻碍中国的发展，然后拉帮结派搞去中国化。在关键行业比如半导体领域，没有看到显著...全文 ",2023-05-22 08:19
N1DS6cn07,老B灯决定给乌克兰F16，然后凯子阴文给了钱的F16没发货，说是没零件。嗯，合着阴文阿姨给老B灯打钱，然后飞机给了演员。真荒诞。如果F16被大毛射火鸡，数据链能拿来给咱们升级歼10C战法，那也行。  ,2023-05-21 19:22
N1D46sre9,你约妹子，不要直接约。你跟她说夏天头皮容易痒，你要洗个头。然后说洗完很舒服，楼下洗的，花了30。那么这个时候她就想洗头了，你给她叫个上门的洗了。然后头都洗了，再叫她出门就容易了。夏天了，吃个小烧烤总可以的。她怕头白洗了，你说那是轻奢烧烤店，没烟火，调酒师很酷，烤馒头片+鹅肝酱很...全文 ,2023-05-21 17:19
N1CSPC3Qp,周末几个重要事件都落地了，G7在一些他们长期乱哔哔的领域，还是干涉了咱们的内政，外交部也有明确的回应。至于产业政策方向，后续估计会以“保障自身供应链安全”作为说辞来试试他们的双标操作，说得比唱的好听，无意阻碍中国的发展，然后拉帮结派搞去中国化。在关键行业比如半导体领域，没有看到显著...全文 ,2023-05-21 16:51
N1sWkbnEL,复盘了一下自己最近的交易，最大的错误在于：锁定一个确定性收益时，往往会嫌弃这个确定性不够多，想调整到弹性更大的地方去。结果半数以上是过山车或者调崩了。其实这个错误2017也犯过，当时选50个票，觉得弹性不够，把其中20换成有弹性的，结果一年后这些增加弹性的基本都向下弹。复利主要来自确...全文 ,2023-05-20 15:32
